replicate,seed,status,theta_hat,se_theta,p_equivalence,reject
0,91000,success,0.05313336732288819,0.01464444751620052,0.5847119753892085,False
1,91001,success,0.04688220161891075,0.010881002912349573,0.387233835937183,False
2,91002,success,0.05071079441319922,0.012306079556997486,0.523029946362022,False
3,91003,success,0.0413884130853764,0.00943751197493545,0.1807567645615562,False
4,91004,success,0.03329664018197038,0.009324392661600024,0.03661763603988833,True
5,91005,success,0.03690871715471545,0.010006888788531246,0.09539815074866392,False
6,91006,success,0.053507860172133236,0.012151038796865273,0.6135899608758937,False
7,91007,success,0.04328070450676716,0.011381269524704429,0.2774673222340349,False
8,91008,success,0.0326948592665708,0.009810632149820067,0.03887297795495517,True
9,91009,success,0.02874071844668416,0.010461090752387804,0.021065483153282882,True
10,91010,success,0.03437002500652036,0.009569970373765729,0.05121018144989545,False
11,91011,success,0.04574700550552814,0.01078270012514586,0.3466326863405555,False
12,91012,success,0.058890745974918855,0.013955145796881443,0.7379683391778629,False
13,91013,success,0.06393801524105397,0.015042479391553643,0.8229268961889458,False
14,91014,success,0.030057551453307983,0.008632661552991463,0.010440869730534928,True
15,91015,success,0.05588104588113241,0.013577058820263997,0.667550921440831,False
16,91016,success,0.056499634620949715,0.0129049253008646,0.6927482037707722,False
17,91017,success,0.032140629004961875,0.010937177120058587,0.05124449122307019,False
18,91018,success,0.03540485491363677,0.009405699500746404,0.06036292437217051,False
19,91019,success,0.048445681707918915,0.012256161925636496,0.44954169651027776,False
20,91020,success,0.06310795209995199,0.014728832198570107,0.813254141101482,False
21,91021,success,0.06384934610427104,0.014337396125747496,0.83296781325098,False
22,91022,success,0.04411037830915953,0.010422780839462537,0.28601239376572196,False
23,91023,success,0.02689569521071116,0.00894117847081671,0.004882615296454748,True
24,91024,success,0.06451596405387347,0.01454200790593753,0.8409110031558804,False
25,91025,success,0.04122194206032891,0.01288278134464,0.2478158224268649,False
26,91026,success,0.037528080468980235,0.011085884085607787,0.13028878478448652,False
27,91027,success,0.03846881878309351,0.009150964807308913,0.10381565060894049,False
28,91028,success,0.034871568364343214,0.008549043179351866,0.03839646239238189,True
29,91029,success,0.046432704702006236,0.01199699256604768,0.3830999883910611,False
30,91030,success,0.04414624947065766,0.0110593257882242,0.29829712905122463,False
31,91031,success,0.042042767991608554,0.010426819748656956,0.22268684275812262,False
32,91032,success,0.05195204966544926,0.013417575919606694,0.5578358336708296,False
33,91033,success,0.05560310433974597,0.012804953916547632,0.669152139801473,False
34,91034,success,0.05142971374623641,0.012418505243569926,0.5458280413941287,False
35,91035,success,0.047258274687376846,0.01223986158786977,0.4113787686872683,False
36,91036,success,0.03971767485043244,0.010793171918802554,0.1703787885276224,False
