separator_form,added_form,mode,replications,usable_rate,median_theta_bias,median_se,median_statistic,implied_critical_value,statistic_p01,nonfinite_statistics
cubic,linear,empty_separator,300,1.0,-0.005770359421429783,0.04490523545169555,-0.11536925628361214,-2.3787087472830906,-3.0344154630466025,0
linear,cubic,empty_separator,300,1.0,-0.03430870214136578,0.05299305253610449,-0.697411800093294,-5.2357282336769435,-7.65036844540322,0
linear,linear,empty_separator,300,1.0,-0.008166635325489613,0.041800442461218244,-0.18469337848948714,-2.025556142799833,-2.693701089808861,0
linear,oscillatory,empty_separator,300,1.0,-0.08657746357198713,0.03186936588688623,-2.7383869897208903,-6.4010891185866745,-7.355362581656752,0
oscillatory,linear,empty_separator,300,1.0,-0.012866547969701908,0.04131686910308452,-0.3197881335407996,-2.554514160887534,-3.0685791782314227,0
cubic,linear,single_separator,300,1.0,-0.013309214894618115,0.041780726837665066,-0.29296109352872435,-2.3336767901990423,-3.261522545657816,0
linear,cubic,single_separator,300,1.0,-0.04732010932185171,0.046347112954387426,-1.0155964843204943,-6.053529471468418,-8.076223245068674,0
linear,linear,single_separator,300,1.0,-0.0011764091154687906,0.03382844180649179,-0.03438835339700114,-1.9948742017773575,-2.7219004326734337,0
linear,oscillatory,single_separator,300,1.0,-0.1288529848272643,0.020014123220812304,-6.363257260298653,-13.0644321446563,-18.166448712803483,0
oscillatory,linear,single_separator,300,1.0,-0.05530615963094104,0.04286878025689707,-1.270518344122828,-3.3347321710602316,-3.7175137558984974,0
