edge_strength,delta,k,true_prune_rate,false_prune_rate,familywise_rate,practical_present,practical_absent
realistic,0.05,1,0.9988590986879635,0.12737752161383284,0.88,1735,8765
realistic,0.05,2,0.9436394751853965,0.050720461095100866,0.61,1735,8765
realistic,0.05,3,0.9095265259555049,0.03976945244956772,0.54,1735,8765
realistic,0.05,5,0.8770108385624643,0.03515850144092219,0.49,1735,8765
realistic,0.1,1,0.9998883430102724,0.2933937823834197,0.99,1544,8956
realistic,0.1,2,0.9796784278695846,0.13082901554404144,0.88,1544,8956
realistic,0.1,3,0.961701652523448,0.08160621761658031,0.68,1544,8956
realistic,0.1,5,0.9404868244752121,0.052461139896373056,0.51,1544,8956
realistic,0.2,1,0.9996846752154719,0.5182555780933062,1.0,986,9514
realistic,0.2,2,0.9944292621400042,0.2697768762677485,0.91,986,9514
realistic,0.2,3,0.9888585242800084,0.15821501014198783,0.7,986,9514
realistic,0.2,5,0.9810805129283162,0.06896551724137931,0.39,986,9514
strong,0.05,1,0.9880341880341881,0.14956521739130435,0.9,1725,8775
strong,0.05,2,0.8911680911680911,0.05333333333333334,0.57,1725,8775
strong,0.05,3,0.8165242165242165,0.025507246376811593,0.37,1725,8775
strong,0.05,5,0.717037037037037,0.017971014492753623,0.26,1725,8775
strong,0.1,1,0.9954586739327884,0.33747044917257685,1.0,1692,8808
strong,0.1,2,0.9423251589464123,0.1483451536643026,0.86,1692,8808
strong,0.1,3,0.8834014532243415,0.06973995271867613,0.63,1692,8808
strong,0.1,5,0.8008628519527702,0.0384160756501182,0.44,1692,8808
strong,0.2,1,0.9986611625571795,0.6636304489264802,1.0,1537,8963
strong,0.2,2,0.9815909851612183,0.37996096291476905,1.0,1537,8963
strong,0.2,3,0.9535869686488899,0.22381262199089136,0.97,1537,8963
strong,0.2,5,0.8965748075421176,0.09954456733897202,0.73,1537,8963
