edge_strength,delta,practically_absent,pairs,mean_separating,share_ge_1,share_ge_3,share_ge_5
realistic,0.05,False,1735,0.5435158501440922,0.12795389048991354,0.040345821325648415,0.035734870317002884
realistic,0.05,True,8765,12.277010838562465,0.9988590986879635,0.9099828864803194,0.8776953793496862
realistic,0.1,False,1544,0.9792746113989638,0.2933937823834197,0.08419689119170984,0.054404145077720206
realistic,0.1,True,8956,13.151630192050023,0.9998883430102724,0.9620366234926306,0.9410451094238499
realistic,0.2,False,986,1.5425963488843812,0.5202839756592292,0.15821501014198783,0.06896551724137931
realistic,0.2,True,9514,13.701492537313433,0.9996846752154719,0.9891738490645364,0.9818162707588817
strong,0.05,False,1725,0.36985507246376814,0.15014492753623188,0.02608695652173913,0.017971014492753623
strong,0.05,True,8775,9.61037037037037,0.9881481481481481,0.8174358974358974,0.7186324786324786
strong,0.1,False,1692,0.8339243498817966,0.3392434988179669,0.06973995271867613,0.03900709219858156
strong,0.1,True,8808,10.743869209809265,0.9954586739327884,0.8846503178928247,0.8021117166212534
strong,0.2,False,1537,1.9271307742355237,0.6655823031880286,0.225113858165257,0.10344827586206896
strong,0.2,True,8963,12.111904496262412,0.9987727323440813,0.9538101082226933,0.8980252147718398
