edge_strength,delta,rule,correct_prune_rate,wrongful_prune_rate
realistic,0.05,all_14,0.7845978322875071,0.0005763688760806917
realistic,0.05,singletons_13,0.7845978322875071,0.0005763688760806917
realistic,0.05,empty_set_only,0.8636622932116372,0.0345821325648415
realistic,0.1,all_14,0.8870031263957123,0.0
realistic,0.1,singletons_13,0.8870031263957123,0.0
realistic,0.1,empty_set_only,0.9316659222867352,0.05181347150259067
realistic,0.2,all_14,0.9480765188143788,0.0010141987829614604
realistic,0.2,singletons_13,0.9480765188143788,0.0010141987829614604
realistic,0.2,empty_set_only,0.9776119402985075,0.057809330628803245
strong,0.05,all_14,0.3680911680911681,0.0
strong,0.05,singletons_13,0.3680911680911681,0.0
strong,0.05,empty_set_only,0.6603988603988604,0.016231884057971015
strong,0.1,all_14,0.49920526793823794,0.0
strong,0.1,singletons_13,0.49920526793823794,0.0
strong,0.1,empty_set_only,0.7400090826521344,0.030141843971631204
strong,0.2,all_14,0.6781211647885752,0.0
strong,0.2,singletons_13,0.6781211647885752,0.0
strong,0.2,empty_set_only,0.8416824723864778,0.0605074821080026
