p,family,edge_strength,delta,checks_per_pair,correct_prune_rate,wrongful_prune_rate,strong_wrongful_prune_rate_040,strong_wrongful_prune_rate_060,familywise_wrongful_rate,unresolved_rate,candidate_adjacency_rate,mean_edges,edge_density,practical_absent,practical_present,strong_present_040,strong_present_060,replications,seconds_per_graph,mean_rejections
4,additive_nonlinear,realistic,0.05,3,0.5239005736137667,0.0,0.0,0.0,0.0,0.45666666666666667,0.315,3.43,0.5716666666666667,523,677,201,3,200,3.676569978999969,0.995
5,additive_nonlinear,realistic,0.05,4,0.5206349206349207,0.0009478672985781991,0.0,0.0,0.005,0.4615,0.292,5.495,0.5495,945,1055,228,1,200,7.144661125499961,0.0
6,additive_nonlinear,realistic,0.05,5,0.4932844932844933,0.0007342143906020558,0.0,0.0,0.005,0.47333333333333333,0.257,7.03,0.4686666666666667,1638,1362,297,1,200,11.447508232500004,0.0
7,additive_nonlinear,realistic,0.05,6,0.6060721062618596,0.0006389776357827476,0.0,0.0,0.005,0.4195238095238095,0.2,8.04,0.38285714285714284,2635,1565,320,1,200,17.27924428350002,0.0
8,additive_nonlinear,realistic,0.05,7,0.6394485683987274,0.0005470459518599562,0.0,0.0,0.005,0.39017857142857143,0.17892857142857144,9.425,0.3366071428571429,3772,1828,349,1,200,23.955277184500055,0.0
9,additive_nonlinear,realistic,0.05,8,0.728397411496003,0.0,0.0,0.0,0.0,0.32,0.14847222222222223,9.945,0.27625,5254,1946,410,1,200,32.99319483750002,0.0
10,additive_nonlinear,realistic,0.05,9,0.7121189367772939,0.0,0.0,0.0,0.0,0.3363333333333333,0.13677777777777778,11.95,0.26555555555555554,6659,2341,449,2,200,44.27813442100008,0.0
4,additive_nonlinear,realistic,0.1,3,0.6666666666666666,0.0,0.0,0.0,0.0,0.4508333333333333,0.2275,3.43,0.5716666666666667,579,621,201,3,200,3.676569978999969,0.995
5,additive_nonlinear,realistic,0.1,4,0.6343692870201096,0.0011037527593818985,0.0,0.0,0.005,0.462,0.1905,5.495,0.5495,1094,906,228,1,200,7.144661125499961,0.0
6,additive_nonlinear,realistic,0.1,5,0.642122360584732,0.0017346053772766695,0.0,0.0,0.01,0.43766666666666665,0.16633333333333333,7.03,0.4686666666666667,1847,1153,297,1,200,11.447508232500004,0.0
7,additive_nonlinear,realistic,0.1,6,0.7580133849947165,0.0014695077149155032,0.0,0.0,0.01,0.36214285714285716,0.125,8.04,0.38285714285714284,2839,1361,320,1,200,17.27924428350002,0.0
8,additive_nonlinear,realistic,0.1,7,0.7801788375558867,0.0006353240152477764,0.0,0.0,0.005,0.32303571428571426,0.11589285714285714,9.425,0.3366071428571429,4026,1574,349,1,200,23.955277184500055,0.0
9,additive_nonlinear,realistic,0.1,8,0.8420862006519377,0.0005959475566150178,0.0,0.0,0.005,0.25833333333333336,0.09569444444444444,9.945,0.27625,5522,1678,410,1,200,32.99319483750002,0.0
10,additive_nonlinear,realistic,0.1,9,0.8376828219099512,0.0,0.0,0.0,0.0,0.265,0.08588888888888889,11.95,0.26555555555555554,6974,2026,449,2,200,44.27813442100008,0.0
4,additive_nonlinear,realistic,0.2,3,0.7762619372442019,0.0,0.0,0.0,0.0,0.4216666666666667,0.10416666666666667,3.43,0.5716666666666667,733,467,201,3,200,3.676569978999969,0.995
5,additive_nonlinear,realistic,0.2,4,0.7683982683982684,0.003257328990228013,0.0,0.0,0.01,0.39,0.0765,5.495,0.5495,1386,614,228,1,200,7.144661125499961,0.0
6,additive_nonlinear,realistic,0.2,5,0.7996406109613656,0.0012919896640826874,0.0,0.0,0.005,0.3446666666666667,0.06166666666666667,7.03,0.4686666666666667,2226,774,297,1,200,11.447508232500004,0.0
7,additive_nonlinear,realistic,0.2,6,0.8680953818291579,0.004509582863585118,0.0,0.0,0.02,0.26,0.054285714285714284,8.04,0.38285714285714284,3313,887,320,1,200,17.27924428350002,0.0
8,additive_nonlinear,realistic,0.2,7,0.8827631292220527,0.0,0.0,0.0,0.0,0.23714285714285716,0.039464285714285716,9.425,0.3366071428571429,4589,1011,349,1,200,23.955277184500055,0.0
9,additive_nonlinear,realistic,0.2,8,0.917473338802297,0.0,0.0,0.0,0.0,0.1840277777777778,0.03930555555555556,9.945,0.27625,6095,1105,410,1,200,32.99319483750002,0.0
10,additive_nonlinear,realistic,0.2,9,0.916083009079118,0.0007751937984496124,0.0,0.0,0.005,0.1821111111111111,0.033,11.95,0.26555555555555554,7710,1290,449,2,200,44.27813442100008,0.0
4,additive_nonlinear,strong,0.05,3,0.19140625,0.0,0.0,0.0,0.0,0.6158333333333333,0.3025,3.525,0.5875,512,688,440,333,200,3.5264884895000437,0.97
5,additive_nonlinear,strong,0.05,4,0.2218782249742002,0.0,0.0,0.0,0.0,0.6075,0.285,5.28,0.528,969,1031,553,368,200,6.757390306500046,0.0
6,additive_nonlinear,strong,0.05,5,0.17334130304841602,0.0,0.0,0.0,0.0,0.6666666666666666,0.23666666666666666,6.725,0.4483333333333333,1673,1327,703,461,200,10.668401295999983,0.0
7,additive_nonlinear,strong,0.05,6,0.2649350649350649,0.0,0.0,0.0,0.0,0.6402380952380953,0.18976190476190477,7.64,0.3638095238095238,2695,1505,781,460,200,15.864591503999947,0.0
8,additive_nonlinear,strong,0.05,7,0.2536443148688047,0.0,0.0,0.0,0.0,0.6625,0.16660714285714287,9.23,0.3296428571428571,3773,1827,909,496,200,22.48549611350002,0.0
9,additive_nonlinear,strong,0.05,8,0.3593959090040145,0.0,0.0,0.0,0.0,0.5993055555555555,0.13958333333333334,9.925,0.27569444444444446,5231,1969,1055,611,200,31.296363958999983,0.0
10,additive_nonlinear,strong,0.05,9,0.3208444840915849,0.0,0.0,0.0,0.0,0.6304444444444445,0.12977777777777777,11.45,0.2544444444444444,6726,2274,1189,641,200,41.81587930149993,0.0
4,additive_nonlinear,strong,0.1,3,0.23669724770642203,0.0,0.0,0.0,0.0,0.6758333333333333,0.21666666666666667,3.525,0.5875,545,655,440,333,200,3.5264884895000437,0.97
5,additive_nonlinear,strong,0.1,4,0.26499032882011603,0.0,0.0,0.0,0.0,0.6925,0.1705,5.28,0.528,1034,966,553,368,200,6.757390306500046,0.0
