p,family,delta,rule,replications,correct_prunes,wrongful_prunes,practical_absent,practical_present,unresolved,pairs,familywise,unusable,directional_tests_per_pair,correct_prune_rate,wrongful_prune_rate,familywise_wrongful_rate,unresolved_rate
4,additive_nonlinear,0.05,critical_raw,102,2,0,259,353,505,612,0,15,6,0.007722007722007722,0.0,0.0,0.8251633986928104
5,additive_nonlinear,0.05,critical_raw,102,6,0,471,549,873,1020,0,40,8,0.012738853503184714,0.0,0.0,0.8558823529411764
6,additive_nonlinear,0.05,critical_raw,102,7,0,847,683,1337,1530,0,84,10,0.008264462809917356,0.0,0.0,0.8738562091503268
4,additive_nonlinear,0.1,critical_raw,102,62,0,291,321,487,612,0,15,6,0.21305841924398625,0.0,0.0,0.795751633986928
5,additive_nonlinear,0.1,critical_raw,102,122,0,540,480,817,1020,0,40,8,0.22592592592592592,0.0,0.0,0.8009803921568628
6,additive_nonlinear,0.1,critical_raw,102,168,0,934,596,1260,1530,0,84,10,0.17987152034261242,0.0,0.0,0.8235294117647058
4,additive_nonlinear,0.2,critical_raw,102,149,1,369,243,439,612,1,15,6,0.4037940379403794,0.00411522633744856,0.00980392156862745,0.7173202614379085
5,additive_nonlinear,0.2,critical_raw,102,279,2,715,305,709,1020,2,40,8,0.3902097902097902,0.006557377049180328,0.0196078431372549,0.6950980392156862
6,additive_nonlinear,0.2,critical_raw,102,457,0,1148,382,1040,1530,0,84,10,0.3980836236933798,0.0,0.0,0.6797385620915033
4,linear_gaussian,0.05,critical_raw,102,11,0,260,352,393,612,0,10,6,0.04230769230769231,0.0,0.0,0.6421568627450981
5,linear_gaussian,0.05,critical_raw,102,14,1,472,548,769,1020,1,20,8,0.029661016949152543,0.0018248175182481751,0.00980392156862745,0.753921568627451
6,linear_gaussian,0.05,critical_raw,102,4,0,845,685,1224,1530,0,50,10,0.004733727810650888,0.0,0.0,0.8
4,linear_gaussian,0.1,critical_raw,102,58,0,294,318,418,612,0,10,6,0.19727891156462585,0.0,0.0,0.6830065359477124
5,linear_gaussian,0.1,critical_raw,102,121,0,529,491,770,1020,0,20,8,0.22873345935727787,0.0,0.0,0.7549019607843137
6,linear_gaussian,0.1,critical_raw,102,188,0,927,603,1170,1530,0,50,10,0.20280474649406688,0.0,0.0,0.7647058823529411
4,linear_gaussian,0.2,critical_raw,102,153,0,353,259,429,612,0,10,6,0.43342776203966005,0.0,0.0,0.7009803921568627
5,linear_gaussian,0.2,critical_raw,102,288,1,670,350,703,1020,1,20,8,0.4298507462686567,0.002857142857142857,0.00980392156862745,0.6892156862745098
6,linear_gaussian,0.2,critical_raw,102,522,1,1102,428,963,1530,1,50,10,0.47368421052631576,0.002336448598130841,0.00980392156862745,0.6294117647058823
4,additive_nonlinear,0.05,normal_holm,102,31,0,259,353,476,612,0,15,6,0.11969111969111969,0.0,0.0,0.7777777777777778
5,additive_nonlinear,0.05,normal_holm,102,78,0,471,549,801,1020,0,40,8,0.16560509554140126,0.0,0.0,0.7852941176470588
6,additive_nonlinear,0.05,normal_holm,102,102,0,847,683,1242,1530,0,84,10,0.1204250295159386,0.0,0.0,0.8117647058823529
4,additive_nonlinear,0.1,normal_holm,102,101,0,291,321,448,612,0,15,6,0.3470790378006873,0.0,0.0,0.7320261437908496
5,additive_nonlinear,0.1,normal_holm,102,177,1,540,480,761,1020,1,40,8,0.3277777777777778,0.0020833333333333333,0.00980392156862745,0.746078431372549
6,additive_nonlinear,0.1,normal_holm,102,271,1,934,596,1156,1530,1,84,10,0.29014989293361887,0.0016778523489932886,0.00980392156862745,0.7555555555555555
4,additive_nonlinear,0.2,normal_holm,102,175,1,369,243,413,612,1,15,6,0.4742547425474255,0.00411522633744856,0.00980392156862745,0.6748366013071896
5,additive_nonlinear,0.2,normal_holm,102,317,3,715,305,670,1020,2,40,8,0.4433566433566434,0.009836065573770493,0.0196078431372549,0.6568627450980392
6,additive_nonlinear,0.2,normal_holm,102,497,1,1148,382,999,1530,1,84,10,0.4329268292682927,0.002617801047120419,0.00980392156862745,0.6529411764705882
4,linear_gaussian,0.05,normal_holm,102,36,0,260,352,368,612,0,10,6,0.13846153846153847,0.0,0.0,0.6013071895424836
5,linear_gaussian,0.05,normal_holm,102,70,1,472,548,713,1020,1,20,8,0.1483050847457627,0.0018248175182481751,0.00980392156862745,0.6990196078431372
6,linear_gaussian,0.05,normal_holm,102,98,0,845,685,1130,1530,0,50,10,0.11597633136094675,0.0,0.0,0.738562091503268
4,linear_gaussian,0.1,normal_holm,102,84,0,294,318,392,612,0,10,6,0.2857142857142857,0.0,0.0,0.6405228758169934
5,linear_gaussian,0.1,normal_holm,102,171,3,529,491,717,1020,3,20,8,0.32325141776937616,0.006109979633401222,0.029411764705882353,0.7029411764705882
6,linear_gaussian,0.1,normal_holm,102,275,1,927,603,1082,1530,1,50,10,0.296655879180151,0.001658374792703151,0.00980392156862745,0.7071895424836602
4,linear_gaussian,0.2,normal_holm,102,169,0,353,259,413,612,0,10,6,0.47875354107648727,0.0,0.0,0.6748366013071896
5,linear_gaussian,0.2,normal_holm,102,320,1,670,350,671,1020,1,20,8,0.47761194029850745,0.002857142857142857,0.00980392156862745,0.657843137254902
6,linear_gaussian,0.2,normal_holm,102,551,2,1102,428,933,1530,2,50,10,0.5,0.004672897196261682,0.0196078431372549,0.6098039215686275
