sample_size,variables,arm,replications,false_inclusion_rate,expected_false_edges,strong_recovery,blank_given_strong_truth,explore_matched_recovery,baseline_matched_recovery,matched_gain,runtime_seconds,precision,weak_recovery,unconditional_blank,jaccard_median,both_blank_rate,pass_1a,pass_1b,pass_2,pass_3,pass_4,pass_5,eligible
50,6,linear,500,0.0009272727272727272,0.01,0.5066333333333334,0.168,0.8066333333333332,0.8713666666666665,-0.06473333333333331,0.17661002250000735,0.9951121794871796,0.09216666666666666,0.168,0.5,0.058,True,True,False,False,True,True,False
50,7,linear,500,0.004793929110105581,0.066,0.6144,0.044,0.7891333333333332,0.7801333333333333,0.008999999999999897,0.6001237420000365,0.9757322175732217,0.14190714285714284,0.044,0.3333333333333333,0.01,True,True,True,True,True,True,True
50,8,linear,500,0.016239223415492093,0.288,0.6900666666666666,0.008,0.7533666666666665,0.7460666666666667,0.007299999999999862,1.0999804194999854,0.9217429915514593,0.2220821067821068,0.008,0.3333333333333333,0.0,True,True,True,True,True,True,True
50,9,linear,500,0.006834888686193035,0.158,0.6028333333333332,0.016,0.7940333333333333,0.8481666666666667,-0.05413333333333348,1.5438361374999374,0.9533294618660473,0.13686600621600623,0.016,0.2857142857142857,0.0,True,True,True,True,True,True,True
50,10,linear,500,0.0035736936543249113,0.106,0.48283333333333334,0.058,0.7327333333333333,0.7956666666666665,-0.06293333333333317,1.5466964340000686,0.9611111111111111,0.09281710397445692,0.058,0.2,0.004,True,True,False,True,True,True,False
75,6,linear,500,0.0009303030303030303,0.01,0.6878333333333333,0.05,0.9123,0.9372666666666667,-0.024966666666666693,0.29063753250002833,0.9969473684210526,0.1303333333333333,0.05,0.5,0.004,True,True,True,True,True,True,True
75,7,linear,500,0.0035841952165481575,0.05,0.7737999999999999,0.01,0.8994333333333334,0.8735999999999999,0.025833333333333486,0.6673942790000069,0.9883164983164984,0.24508333333333332,0.01,0.5,0.0,True,True,True,True,True,True,True
75,8,linear,500,0.015435925136991902,0.272,0.8439333333333333,0.0,0.8702666666666666,0.8187000000000001,0.05156666666666654,0.9643066524999995,0.9474325396825397,0.3088567765567765,0.0,0.5,0.0,True,True,True,True,True,True,True
75,9,linear,500,0.0059421141499402365,0.138,0.7696333333333333,0.0,0.9077,0.9295333333333333,-0.02183333333333337,1.1441889310000306,0.9717809523809524,0.23271299256299255,0.0,0.4,0.0,True,True,True,True,True,True,True
75,10,linear,500,0.002774165812885305,0.084,0.7247333333333333,0.008,0.9077666666666666,0.9024333333333334,0.00533333333333319,0.9281755060000023,0.9831229198668715,0.17193914223031867,0.008,0.3333333333333333,0.0,True,True,True,True,True,True,True
