sample_size,variables,arm,replications,false_inclusion_rate,expected_false_edges,strong_recovery,blank_given_strong_truth,explore_matched_recovery,baseline_matched_recovery,matched_gain,runtime_seconds,precision,weak_recovery,unconditional_blank,jaccard_median,both_blank_rate,jaccard_strong,jaccard_weak,jaccard_nonedge,disagreement_share_strong,disagreement_share_weak,disagreement_share_nonedge,pass_1a,pass_1b,pass_2,pass_3,pass_4,pass_5,eligible
50,6,linear,500,0.0009272727272727272,0.01,0.5066333333333334,0.168,0.8066333333333332,0.8713666666666665,-0.06473333333333331,0.17339390300001867,0.9951121794871796,0.09216666666666666,0.168,0.5,0.058,0.5,0.0,0.0,0.8098118279569892,0.1825716845878136,0.007616487455197132,True,True,False,False,True,True,False
50,7,linear,500,0.004793929110105581,0.066,0.6144,0.044,0.7891333333333332,0.7801333333333333,0.008999999999999897,0.6086801530000798,0.9757322175732217,0.14190714285714284,0.044,0.3333333333333333,0.01,0.5,0.0,0.0,0.5272026431718062,0.4255506607929515,0.047246696035242286,True,True,True,True,True,True,True
50,8,linear,500,0.016239223415492093,0.288,0.6900666666666666,0.008,0.7533666666666665,0.7460666666666667,0.007299999999999862,1.1062155019999693,0.9217429915514593,0.2220821067821068,0.008,0.3333333333333333,0.0,0.5,0.0,0.0,0.2660170964937699,0.5722351009369264,0.16174780256930357,True,True,True,True,True,True,True
50,9,linear,500,0.006850126781431129,0.158,0.6038333333333332,0.016,0.7940333333333333,0.8481666666666667,-0.05413333333333348,0.8824559514999919,0.9529907084785133,0.13708822843822843,0.016,0.2857142857142857,0.0,0.5,0.0,0.0,0.3256486880466472,0.5826141885325559,0.09173712342079689,True,True,True,True,True,True,True
50,10,linear,500,0.0035736936543249113,0.106,0.48216666666666663,0.058,0.7327333333333333,0.7956666666666665,-0.06293333333333317,1.037720209500037,0.9611111111111111,0.09298377064112358,0.058,0.2,0.004,0.5,0.0,0.0,0.34265383107975705,0.5846781305114638,0.07266803840877914,True,True,False,True,True,True,False
75,6,linear,500,0.0009303030303030303,0.01,0.6878333333333333,0.05,0.9123,0.9372666666666667,-0.024966666666666693,0.2910144539999777,0.9969473684210526,0.1303333333333333,0.05,0.5,0.004,0.6666666666666666,0.0,0.0,0.7490622335890877,0.23388746803069055,0.01705029838022165,True,True,True,True,True,True,True
75,7,linear,500,0.0035841952165481575,0.05,0.7737999999999999,0.01,0.8994333333333334,0.8735999999999999,0.025833333333333486,0.6872538734999694,0.9883164983164984,0.24508333333333332,0.01,0.5,0.0,0.6666666666666666,0.0,0.0,0.36743929359823396,0.5757542310522443,0.05680647534952171,True,True,True,True,True,True,True
75,8,linear,500,0.015435925136991902,0.272,0.8445999999999999,0.0,0.8719333333333334,0.8187000000000001,0.053233333333333355,0.6624686434999489,0.9475992063492064,0.30910677655677654,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.15410268869452542,0.6897157434402331,0.15618156786524132,True,True,True,True,True,True,True
75,9,linear,500,0.0059421141499402365,0.138,0.7696333333333333,0.0,0.9077,0.9295333333333333,-0.02183333333333337,1.3303913830000056,0.9717809523809524,0.23271299256299255,0.0,0.4,0.0,0.6666666666666666,0.25,0.0,0.22051891321044548,0.7090317780337941,0.07044930875576036,True,True,True,True,True,True,True
75,10,linear,500,0.002774165812885305,0.084,0.7262333333333334,0.008,0.9077666666666666,0.9024333333333334,0.00533333333333319,1.3440553735000549,0.9831229198668715,0.17161862940980588,0.008,0.3333333333333333,0.0,0.5,0.14285714285714285,0.0,0.21794846927229816,0.7378147932628585,0.04423673746484337,True,True,True,True,True,True,True
