variables,sample_size,density,arm,replications,false_connection_share,false_share_exact_low,false_share_exact_high,false_share_boot_low,false_share_boot_high,false_edges_per_network,false_positive_rate,strong_recovery,weak_recovery,blank_given_strong_truth,stability_strong,stability_weak,runtime_seconds,explore_matched_fc_curved,explore_straight_matched_fc_curved,baseline_matched_fc_curved,explore_matched_fc_straight,explore_straight_matched_fc_straight,baseline_matched_fc_straight,explore_matched_density_curved,explore_straight_matched_density_curved,baseline_matched_density_curved,explore_matched_density_straight,explore_straight_matched_density_straight,baseline_matched_density_straight,pass_1_false_connections,pass_2_recovery,pass_3_blank,pass_4_stability,pass_5_beats_baseline,pass_6_beats_straight_on_curved,pass_7_holds_on_straight,eligible
12,75,moderate,linear,500,0.14781401804302569,0.1373590738349502,0.15874718972885898,0.13844668755093972,0.15739889705882354,1.278,0.030428571428571426,0.983,0.22148484848484845,0.0,1.0,0.3333333333333333,2.8163081844998032,,,,0.276,0.35666666666666663,0.26483333333333337,,,,0.5549166666666666,0.65475,0.6535833333333333,False,True,True,True,True,True,True,False
12,100,moderate,linear,500,0.1278415015641293,0.1185147149906785,0.13762396584991923,0.11891498556880344,0.13674535789118308,1.226,0.02919047619047619,0.9886666666666667,0.26716017316017315,0.0,1.0,0.4,3.876465465000109,,,,0.334,0.39975,0.29816666666666664,,,,0.5751666666666666,0.6734166666666667,0.6745833333333333,False,True,True,True,True,True,True,False
12,150,moderate,linear,500,0.12678758283920474,0.11827960383367625,0.13567726728629062,0.11931284177694133,0.13483751897290452,1.454,0.03461904761904761,0.9986666666666667,0.3429220779220779,0.0,1.0,0.5,3.8600625600001877,,,,0.3983333333333334,0.457,0.333,,,,0.6160833333333332,0.7055,0.70825,False,True,True,True,True,True,True,False
12,250,moderate,linear,500,0.1387649345041025,0.13071656262575507,0.1471177632497117,0.1303960857283255,0.1469117314633361,1.928,0.0459047619047619,0.9976666666666667,0.4356147186147186,0.0,1.0,0.6153846153846154,3.3261741104999203,,,,0.4661666666666666,0.5120833333333332,0.3825833333333334,,,,0.6594166666666667,0.72625,0.7408333333333332,False,True,True,True,True,True,True,False
15,75,moderate,linear,500,0.10790144435004248,0.09785419818943927,0.11860292935292227,0.09826197575605657,0.11741713959175472,0.762,0.01016,0.9693333333333333,0.13421693121693118,0.0,1.0,0.25,5.79291492849984,,,,0.22213333333333332,0.2901333333333333,0.19860000000000003,,,,0.4191333333333333,0.5841333333333332,0.6191333333333332,False,True,True,True,True,True,True,False
15,100,moderate,linear,500,0.09462010382255781,0.08597176535201533,0.1038317160606205,0.08570659355494585,0.10349819938314805,0.802,0.010693333333333334,0.9853333333333334,0.18230952380952378,0.0,1.0,0.3,5.307614600999841,,,,0.2870666666666667,0.35379999999999995,0.24866666666666665,,,,0.4675333333333333,0.6259333333333331,0.6526,True,True,True,True,True,True,True,True
15,150,moderate,linear,500,0.10441988950276243,0.09640821591651516,0.112859450591139,0.09614644152246811,0.11230443005358393,1.134,0.015120000000000001,0.998,0.2567169312169312,0.0,1.0,0.4166666666666667,4.437884050500088,,,,0.33879999999999993,0.4050666666666667,0.27220000000000005,,,,0.5182666666666667,0.663,0.6862666666666667,False,True,True,True,True,True,True,False
15,250,moderate,linear,500,0.10772532188841202,0.1005504557152839,0.11522919369788694,0.10050501704224751,0.11502105168856062,1.506,0.020079999999999997,0.999,0.35762433862433857,0.0,1.0,0.5625,4.405029839999543,,,,0.4335333333333333,0.49879999999999997,0.34586666666666666,,,,0.5909333333333333,0.7063333333333333,0.7331333333333333,False,True,True,True,True,True,True,False
12,75,sparse,linear,500,0.07860262008733625,0.06668879177379973,0.09188548989996982,0.0677678837743953,0.08957274575340035,0.288,0.005333333333333333,0.935,0.08220000000000002,0.0,1.0,0.0,2.3089792664999322,,,,0.31816666666666665,0.3888333333333333,0.3363333333333334,,,,0.43183333333333335,0.6038333333333333,0.6228333333333333,True,True,True,True,True,True,True,True
12,100,sparse,linear,500,0.08527870414483087,0.07367767524363204,0.09805255026386688,0.07458938656545663,0.09616363252921421,0.358,0.0066296296296296285,0.9803333333333334,0.12193333333333334,0.0,1.0,0.225,2.2263253304999466,,,,0.36233333333333334,0.4513333333333333,0.38683333333333336,,,,0.4818333333333334,0.6496666666666667,0.6653333333333333,True,True,True,True,True,True,True,True
